"","t.1","t.2","t.3","tw.1","tw.2","tw.3","L"
"1",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,1.6997887639301e-69,9.91359853813374e-23,9.23549461964146e-57,-10526.2456065909
"2",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,9.23705710990109e-69,1.59368672710666e-24,1.44953964444921e-56,-10526.2456065909
"3",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,4.24487436483282e-69,2.31520637027553e-25,5.16182022110603e-56,-10526.2456065909
"4",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,3.44855162724262e-69,2.13900012539786e-25,5.81544585853705e-56,-10526.2456065909
"5",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,2.72580529799601e-62,5.81421507681648e-25,2.20828075476601e-56,-10526.2456065909
"6",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,1.32530665891639e-68,1.29735986755383e-24,1.54493347448547e-56,-10526.2456065909
"7",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,5.9379649394898e-69,2.60346150947569e-25,4.41169112820166e-56,-10526.2456065909
"8",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,4.64935659289783e-68,8.57103627840825e-25,1.81068413153673e-56,-10526.2456065909
"9",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,3.7645782817735e-69,4.03533855643421e-24,1.18163836940098e-56,-10526.2456065909
"10",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,3.11151285065613e-70,4.33137105655389e-25,4.2589444213677e-57,-10526.2456065909
"11",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,6.41771154714184e-70,2.29839721814773e-24,6.18739061486897e-57,-10526.2456065909
"12",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,6.07387618319928e-70,1.95805264321406e-24,6.02792755974264e-57,-10526.2456065909
"13",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,4.80795709553664e-70,1.07198039564633e-24,5.37287642763197e-57,-10526.2456065909
"14",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,1.28764063503448e-68,3.25833669116792e-25,3.43905446699819e-56,-10526.2456065909
"15",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,4.65622856223711e-70,7.60505228900603e-26,1.13004299740134e-53,-10526.2456065909
"16",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,4.81677266273472e-70,7.77086948710808e-26,3.10721405148835e-53,-10526.2456065909
"17",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,3.19004180619688e-70,5.92595385909239e-26,3.22874167369047e-55,-10526.2456065909
"18",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,7.2242176192474e-70,9.95237453790729e-26,8.45017636107711e-55,-10526.2456065909
"19",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,6.6770155383342e-70,9.49973734140838e-26,1.34811493163956e-54,-10526.2456065909
"20",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,1.86161239464716e-68,3.55243123580636e-25,3.16919542505628e-56,-10526.2456065909
"21",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,1.30546610520581e-70,3.09662895327639e-26,2.33762648809048e-56,-10526.2456065909
