"","V1","V2","V3"
"1",1,0,0
"2",1,0,0
"3",0,0,1
"4",1,0,0
"5",1,0,0
"6",0,1,0
"7",1,0,0
"8",0,1,0
"9",0,1,0
"10",0,1,0
"11",0,0,1
"12",1,0,0
"13",0,1,0
"14",0,0,1
"15",0,1,0
"16",0,0,1
"17",1,0,0
"18",0,0,1
"19",0,0,1
"20",0,0,1
"21",0,0,1
"22",0,0,1
"23",0,1,0
"24",0,0,1
"25",1,0,0
"26",0,1,0
"27",1,0,0
"28",0,0,1
"29",0,0,1
"30",1,0,0
"31",1,0,0
"32",0,1,0
"33",0,1,0
"34",0,0,1
"35",1,0,0
"36",1,0,0
"37",1,0,0
"38",1,0,0
"39",1,0,0
"40",1,0,0
"41",0,0,1
"42",1,0,0
"43",0,1,0
"44",0,1,0
"45",0,1,0
"46",0,0,1
"47",0,1,0
"48",0,0,1
"49",1,0,0
"50",1,0,0
"51",0,1,0
"52",0,1,0
"53",1,0,0
"54",0,0,1
"55",0,0,1
"56",0,1,0
"57",1,0,0
"58",0,0,1
"59",0,1,0
"60",0,1,0
"61",0,1,0
"62",0,0,1
"63",0,0,1
"64",0,1,0
"65",0,0,1
"66",0,0,1
"67",0,0,1
"68",0,0,1
"69",0,0,1
"70",0,1,0
"71",0,1,0
"72",0,0,1
"73",0,1,0
"74",0,1,0
"75",0,1,0
"76",1,0,0
"77",0,1,0
"78",0,0,1
"79",0,0,1
"80",0,1,0
"81",1,0,0
"82",0,1,0
"83",0,1,0
"84",0,0,1
"85",0,1,0
"86",0,0,1
"87",0,0,1
"88",0,0,1
"89",1,0,0
"90",1,0,0
"91",0,1,0
"92",0,0,1
"93",0,1,0
"94",0,1,0
"95",1,0,0
"96",0,1,0
"97",0,1,0
"98",1,0,0
"99",0,0,1
"100",0,0,1
"101",0,0,1
"102",1,0,0
"103",0,0,1
"104",0,0,1
"105",0,1,0
"106",0,1,0
"107",0,0,1
"108",0,1,0
"109",0,1,0
"110",0,0,1
"111",0,0,1
"112",1,0,0
"113",1,0,0
"114",0,1,0
"115",0,1,0
