"","bic","icl","cls.1","cls.2","cls.3","conv"
"1",-23587.3764571837,-23574.578733135,28,34,38,94
"2",-23587.3764571837,-23574.578733135,27,32,41,94
"3",-23587.3764571837,-23574.578733135,26,37,37,94
"4",-23587.3764571837,-23574.578733135,27,33,40,94
"5",-23587.3764571837,-23574.578733135,32,29,39,94
"6",-23587.3764571837,-23574.578733135,27,33,40,94
"7",-23587.3764571837,-23574.578733135,27,33,40,94
"8",-23587.3764571837,-23574.578733135,25,34,41,94
"9",-23587.3764571837,-23574.578733135,39,34,27,94
"10",-23587.3764571837,-23574.578733135,27,32,41,94
"11",-23587.3764571837,-23574.578733135,27,34,39,94
"12",-23587.3764571837,-23574.578733135,28,33,39,94
"13",-23587.3764571837,-23574.578733135,25,34,41,94
"14",-23587.3764571837,-23574.578733135,30,30,40,94
"15",-23587.3764571837,-23574.578733135,29,31,40,94
"16",-23587.3764571837,-23574.578733135,31,40,29,94
"17",-23587.3764571837,-23574.578733135,27,33,40,94
"18",-23587.3764571837,-23574.578733135,27,34,39,94
"19",-23587.3764571837,-23574.578733135,28,30,42,94
"20",-23587.3764571837,-23574.578733135,28,33,39,94
"21",-23587.3764571837,-23574.578733135,26,34,40,94
"22",-23587.3764571837,-23574.578733135,29,33,38,94
"23",-23587.3764571837,-23574.578733135,27,38,35,94
"24",-23587.3764571837,-23574.578733135,28,30,42,94
"25",-23587.3764571837,-23574.578733135,32,29,39,94
"26",-23587.3764571837,-23574.578733135,23,33,44,94
"27",-23587.3764571837,-23574.578733135,32,29,39,94
"28",-23587.3764571837,-23574.578733135,28,31,41,94
"29",-23587.3764571837,-23574.578733135,33,29,38,94
"30",-23587.3764571837,-23574.578733135,30,35,35,94
"31",-23587.3764571837,-23574.578733135,30,31,39,94
"32",-23587.3764571837,-23574.578733135,24,34,42,94
"33",-23587.3764571837,-23574.578733135,32,29,39,94
"34",-23587.3764571837,-23574.578733135,32,29,39,94
"35",-23587.3764571837,-23574.578733135,32,30,38,94
"36",-23587.3764571837,-23574.578733135,32,29,39,94
"37",-23587.3764571837,-23574.578733135,32,29,39,94
"38",-23587.3764571837,-23574.578733135,39,34,27,94
"39",-23587.3764571837,-23574.578733135,24,32,44,94
"40",-23587.3764571837,-23574.578733135,32,30,38,94
"41",-23587.3764571837,-23574.578733135,24,34,42,94
"42",-23587.3764571837,-23574.578733135,39,34,27,94
"43",-23587.3764571837,-23574.578733135,32,29,39,94
"44",-23587.3764571837,-23574.578733135,36,26,38,94
"45",-23587.3764571837,-23574.578733135,39,34,27,94
"46",-23587.3764571837,-23574.578733135,34,27,39,94
"47",-23587.3764571837,-23574.578733135,32,29,39,94
"48",-23587.3764571837,-23574.578733135,27,31,42,94
"49",-23587.3764571837,-23574.578733135,39,34,27,94
"50",-23587.3764571837,-23574.578733135,32,29,39,94
"51",-23587.3764571837,-23574.578733135,28,32,40,94
"52",-23587.3764571837,-23574.578733135,39,34,27,94
"53",-23587.3764571837,-23574.578733135,26,33,41,94
"54",-23587.3764571837,-23574.578733135,28,31,41,94
"55",-23587.3764571837,-23574.578733135,25,34,41,94
"56",-23587.3764571837,-23574.578733135,29,33,38,94
"57",-23587.3764571837,-23574.578733135,27,38,35,94
"58",-23587.3764571837,-23574.578733135,32,29,39,94
"59",-23587.3764571837,-23574.578733135,27,42,31,94
"60",-23587.3764571837,-23574.578733135,25,35,40,94
"61",-23587.3764571837,-23574.578733135,26,32,42,94
"62",-23587.3764571837,-23574.578733135,32,29,39,94
"63",-23587.3764571837,-23574.578733135,28,33,39,94
"64",-23587.3764571837,-23574.578733135,34,28,38,94
"65",-23587.3764571837,-23574.578733135,36,26,38,94
"66",-23587.3764571837,-23574.578733135,27,32,41,94
"67",-23587.3764571837,-23574.578733135,39,34,27,94
"68",-23587.3764571837,-23574.578733135,39,34,27,94
"69",-23587.3764571837,-23574.578733135,28,30,42,94
"70",-23587.3764571837,-23574.578733135,32,29,39,94
"71",-23587.3764571837,-23574.578733135,32,28,40,94
"72",-23587.3764571837,-23574.578733135,32,29,39,94
"73",-23587.3764571837,-23574.578733135,25,33,42,94
"74",-23587.3764571837,-23574.578733135,24,31,45,94
"75",-23587.3764571837,-23574.578733135,27,33,40,94
"76",-23587.3764571837,-23574.578733135,25,34,41,94
"77",-23587.3764571837,-23574.578733135,32,29,39,94
"78",-23587.3764571837,-23574.578733135,32,29,39,94
"79",-23587.3764571837,-23574.578733135,32,29,39,94
"80",-23587.3764571837,-23574.578733135,25,32,43,94
"81",-23587.3764571837,-23574.578733135,27,32,41,94
"82",-23587.3764571837,-23574.578733135,39,34,27,94
"83",-23587.3764571837,-23574.578733135,23,35,42,94
"84",-23587.3764571837,-23574.578733135,32,29,39,94
"85",-23587.3764571837,-23574.578733135,33,29,38,94
"86",-23587.3764571837,-23574.578733135,24,34,42,94
"87",-23587.3764571837,-23574.578733135,29,37,34,94
"88",-23587.3764571837,-23574.578733135,32,29,39,94
"89",-23587.3764571837,-23574.578733135,39,32,29,94
"90",-23587.3764571837,-23574.578733135,39,34,27,94
"91",-23587.3764571837,-23574.578733135,32,29,39,94
"92",-23587.3764571837,-23574.578733135,32,29,39,94
"93",-23587.3764571837,-23574.578733135,32,29,39,94
"94",-23587.3764571837,-23574.578733135,30,40,30,94
"95",-23587.3764571837,-23574.578733135,32,29,39,94
"96",-23587.3764571837,-23574.578733135,27,31,42,94
"97",-23587.3764571837,-23574.578733135,39,34,27,94
"98",-23587.3764571837,-23574.578733135,33,29,38,94
"99",-23587.3764571837,-23574.578733135,32,29,39,94
"100",-23587.3764571837,-23574.578733135,39,34,27,94
"101",-23587.3764571837,-23574.578733135,27,32,41,94
"102",-23587.3764571837,-23574.578733135,28,38,34,94
"103",-23587.3764571837,-23574.578733135,39,34,27,94
"104",-23587.3764571837,-23574.578733135,27,34,39,94
"105",-23587.3764571837,-23574.578733135,27,34,39,94
"106",-23587.3764571837,-23574.578733135,33,31,36,94
"107",-23587.3764571837,-23574.578733135,39,32,29,94
"108",-23587.3764571837,-23574.578733135,24,34,42,94
"109",-23587.3764571837,-23574.578733135,40,33,27,94
"110",-23587.3764571837,-23574.578733135,32,29,39,94
"111",-23587.3764571837,-23574.578733135,32,29,39,94
"112",-23587.3764571837,-23574.578733135,31,29,40,94
"113",-23587.3764571837,-23574.578733135,36,26,38,94
"114",-23587.3764571837,-23574.578733135,32,29,39,94
"115",-23587.3764571837,-23574.578733135,39,34,27,94
