"","bic","icl","cls.1","cls.2","cls.3","conv"
"1",-23618.3766653993,-23604.6013522585,100,0,0,99
"2",-23618.3766653993,-23604.6013522585,96,4,0,99
"3",-23618.3766653993,-23604.6013522585,0,100,0,99
"4",-23618.3766653993,-23604.6013522585,0,100,0,99
"5",-23618.3766653993,-23604.6013522585,0,96,4,99
"6",-23618.3766653993,-23604.6013522585,3,93,4,99
"7",-23618.3766653993,-23604.6013522585,100,0,0,99
"8",-23618.3766653993,-23604.6013522585,100,0,0,99
"9",-23618.3766653993,-23604.6013522585,100,0,0,99
"10",-23618.3766653993,-23604.6013522585,100,0,0,99
"11",-23618.3766653993,-23604.6013522585,91,5,4,99
"12",-23618.3766653993,-23604.6013522585,0,96,4,99
"13",-23618.3766653993,-23604.6013522585,100,0,0,99
"14",-23618.3766653993,-23604.6013522585,96,0,4,99
"15",-23618.3766653993,-23604.6013522585,93,0,7,99
"16",-23618.3766653993,-23604.6013522585,100,0,0,99
"17",-23618.3766653993,-23604.6013522585,94,1,5,99
"18",-23618.3766653993,-23604.6013522585,0,95,5,99
"19",-23618.3766653993,-23604.6013522585,100,0,0,99
"20",-23618.3766653993,-23604.6013522585,96,0,4,99
"21",-23618.3766653993,-23604.6013522585,95,4,1,99
"22",-23618.3766653993,-23604.6013522585,100,0,0,99
"23",-23618.3766653993,-23604.6013522585,5,2,93,99
"24",-23618.3766653993,-23604.6013522585,91,5,4,99
"25",-23618.3766653993,-23604.6013522585,100,0,0,99
"26",-23618.3766653993,-23604.6013522585,4,92,4,99
"27",-23618.3766653993,-23604.6013522585,0,100,0,99
"28",-23618.3766653993,-23604.6013522585,100,0,0,99
"29",-23618.3766653993,-23604.6013522585,3,93,4,99
"30",-23618.3766653993,-23604.6013522585,0,96,4,99
"31",-23618.3766653993,-23604.6013522585,0,100,0,99
"32",-23618.3766653993,-23604.6013522585,91,4,5,99
"33",-23618.3766653993,-23604.6013522585,0,100,0,99
"34",-23618.3766653993,-23604.6013522585,100,0,0,99
"35",-23618.3766653993,-23604.6013522585,4,96,0,99
"36",-23618.3766653993,-23604.6013522585,3,97,0,99
"37",-23618.3766653993,-23604.6013522585,0,100,0,99
"38",-23618.3766653993,-23604.6013522585,100,0,0,99
"39",-23618.3766653993,-23604.6013522585,0,100,0,99
"40",-23618.3766653993,-23604.6013522585,0,100,0,99
"41",-23618.3766653993,-23604.6013522585,94,4,2,99
"42",-23618.3766653993,-23604.6013522585,100,0,0,99
"43",-23618.3766653993,-23604.6013522585,0,100,0,99
"44",-23618.3766653993,-23604.6013522585,0,96,4,99
"45",-23618.3766653993,-23604.6013522585,100,0,0,99
"46",-23618.3766653993,-23604.6013522585,100,0,0,99
"47",-23618.3766653993,-23604.6013522585,0,100,0,99
"48",-23618.3766653993,-23604.6013522585,96,4,0,99
"49",-23618.3766653993,-23604.6013522585,100,0,0,99
"50",-23618.3766653993,-23604.6013522585,0,100,0,99
"51",-23618.3766653993,-23604.6013522585,3,93,4,99
"52",-23618.3766653993,-23604.6013522585,100,0,0,99
"53",-23618.3766653993,-23604.6013522585,100,0,0,99
"54",-23618.3766653993,-23604.6013522585,99,0,1,99
"55",-23618.3766653993,-23604.6013522585,100,0,0,99
"56",-23618.3766653993,-23604.6013522585,100,0,0,99
"57",-23618.3766653993,-23604.6013522585,5,2,93,99
"58",-23618.3766653993,-23604.6013522585,0,100,0,99
"59",-23618.3766653993,-23604.6013522585,10,86,4,99
"60",-23618.3766653993,-23604.6013522585,88,7,5,99
"61",-23618.3766653993,-23604.6013522585,100,0,0,99
"62",-23618.3766653993,-23604.6013522585,4,96,0,99
"63",-23618.3766653993,-23604.6013522585,5,95,0,99
"64",-23618.3766653993,-23604.6013522585,0,100,0,99
"65",-23618.3766653993,-23604.6013522585,94,2,4,99
"66",-23618.3766653993,-23604.6013522585,95,4,1,99
"67",-23618.3766653993,-23604.6013522585,100,0,0,99
"68",-23618.3766653993,-23604.6013522585,100,0,0,99
"69",-23618.3766653993,-23604.6013522585,93,7,0,99
"70",-23618.3766653993,-23604.6013522585,0,100,0,99
"71",-23618.3766653993,-23604.6013522585,0,100,0,99
"72",-23618.3766653993,-23604.6013522585,0,95,5,99
"73",-23618.3766653993,-23604.6013522585,100,0,0,99
"74",-23618.3766653993,-23604.6013522585,96,4,0,99
"75",-23618.3766653993,-23604.6013522585,94,0,6,99
"76",-23618.3766653993,-23604.6013522585,100,0,0,99
"77",-23618.3766653993,-23604.6013522585,0,100,0,99
"78",-23618.3766653993,-23604.6013522585,0,95,5,99
"79",-23618.3766653993,-23604.6013522585,100,0,0,99
"80",-23618.3766653993,-23604.6013522585,100,0,0,99
"81",-23618.3766653993,-23604.6013522585,95,4,1,99
"82",-23618.3766653993,-23604.6013522585,100,0,0,99
"83",-23618.3766653993,-23604.6013522585,2,93,5,99
"84",-23618.3766653993,-23604.6013522585,91,5,4,99
"85",-23618.3766653993,-23604.6013522585,0,100,0,99
"86",-23618.3766653993,-23604.6013522585,95,4,1,99
"87",-23618.3766653993,-23604.6013522585,100,0,0,99
"88",-23618.3766653993,-23604.6013522585,100,0,0,99
"89",-23618.3766653993,-23604.6013522585,100,0,0,99
"90",-23618.3766653993,-23604.6013522585,100,0,0,99
"91",-23618.3766653993,-23604.6013522585,0,100,0,99
"92",-23618.3766653993,-23604.6013522585,0,95,5,99
"93",-23618.3766653993,-23604.6013522585,3,93,4,99
"94",-23618.3766653993,-23604.6013522585,100,0,0,99
"95",-23618.3766653993,-23604.6013522585,4,92,4,99
"96",-23618.3766653993,-23604.6013522585,95,4,1,99
"97",-23618.3766653993,-23604.6013522585,100,0,0,99
"98",-23618.3766653993,-23604.6013522585,0,100,0,99
"99",-23618.3766653993,-23604.6013522585,0,100,0,99
"100",-23618.3766653993,-23604.6013522585,100,0,0,99
"101",-23618.3766653993,-23604.6013522585,100,0,0,99
"102",-23618.3766653993,-23604.6013522585,100,0,0,99
"103",-23618.3766653993,-23604.6013522585,100,0,0,99
"104",-23618.3766653993,-23604.6013522585,0,95,5,99
"105",-23618.3766653993,-23604.6013522585,0,95,5,99
"106",-23618.3766653993,-23604.6013522585,100,0,0,99
"107",-23618.3766653993,-23604.6013522585,100,0,0,99
"108",-23618.3766653993,-23604.6013522585,3,97,0,99
"109",-23618.3766653993,-23604.6013522585,100,0,0,99
"110",-23618.3766653993,-23604.6013522585,0,96,4,99
"111",-23618.3766653993,-23604.6013522585,3,92,5,99
"112",-23618.3766653993,-23604.6013522585,0,100,0,99
"113",-23618.3766653993,-23604.6013522585,100,0,0,99
"114",-23618.3766653993,-23604.6013522585,0,96,4,99
"115",-23618.3766653993,-23604.6013522585,100,0,0,99
