"","bic","icl","cls.1","cls.2","cls.3","conv"
"1",-23670.9996996641,-23657.9909444469,34,27,39,83
"2",-23670.9996996641,-23657.9909444469,34,28,38,83
"3",-23670.9996996641,-23657.9909444469,32,31,37,83
"4",-23670.9996996641,-23657.9909444469,27,34,39,83
"5",-23670.9996996641,-23657.9909444469,36,29,35,83
"6",-23670.9996996641,-23657.9909444469,34,30,36,83
"7",-23670.9996996641,-23657.9909444469,34,30,36,83
"8",-23670.9996996641,-23657.9909444469,33,25,42,83
"9",-23670.9996996641,-23657.9909444469,32,28,40,83
"10",-23670.9996996641,-23657.9909444469,27,34,39,83
"11",-23670.9996996641,-23657.9909444469,27,35,38,83
"12",-23670.9996996641,-23657.9909444469,34,31,35,83
"13",-23670.9996996641,-23657.9909444469,31,26,43,83
"14",-23670.9996996641,-23657.9909444469,28,37,35,83
"15",-23670.9996996641,-23657.9909444469,26,34,40,83
"16",-23670.9996996641,-23657.9909444469,32,26,42,83
"17",-23670.9996996641,-23657.9909444469,27,33,40,83
"18",-23670.9996996641,-23657.9909444469,30,34,36,83
"19",-23670.9996996641,-23657.9909444469,29,37,34,83
"20",-23670.9996996641,-23657.9909444469,29,29,42,83
"21",-23670.9996996641,-23657.9909444469,34,27,39,83
"22",-23670.9996996641,-23657.9909444469,27,33,40,83
"23",-23670.9996996641,-23657.9909444469,27,34,39,83
"24",-23670.9996996641,-23657.9909444469,37,26,37,83
"25",-23670.9996996641,-23657.9909444469,39,27,34,83
"26",-23670.9996996641,-23657.9909444469,38,26,36,83
"27",-23670.9996996641,-23657.9909444469,39,27,34,83
"28",-23670.9996996641,-23657.9909444469,35,29,36,83
"29",-23670.9996996641,-23657.9909444469,38,31,31,83
"30",-23670.9996996641,-23657.9909444469,33,32,35,83
"31",-23670.9996996641,-23657.9909444469,35,32,33,83
"32",-23670.9996996641,-23657.9909444469,35,28,37,83
"33",-23670.9996996641,-23657.9909444469,38,27,35,83
"34",-23670.9996996641,-23657.9909444469,36,28,36,83
"35",-23670.9996996641,-23657.9909444469,37,28,35,83
"36",-23670.9996996641,-23657.9909444469,36,31,33,83
"37",-23670.9996996641,-23657.9909444469,36,30,34,83
"38",-23670.9996996641,-23657.9909444469,31,28,41,83
"39",-23670.9996996641,-23657.9909444469,37,27,36,83
"40",-23670.9996996641,-23657.9909444469,38,27,35,83
"41",-23670.9996996641,-23657.9909444469,38,26,36,83
"42",-23670.9996996641,-23657.9909444469,32,28,40,83
"43",-23670.9996996641,-23657.9909444469,38,27,35,83
"44",-23670.9996996641,-23657.9909444469,39,30,31,83
"45",-23670.9996996641,-23657.9909444469,33,27,40,83
"46",-23670.9996996641,-23657.9909444469,38,25,37,83
"47",-23670.9996996641,-23657.9909444469,37,29,34,83
"48",-23670.9996996641,-23657.9909444469,37,27,36,83
"49",-23670.9996996641,-23657.9909444469,33,28,39,83
"50",-23670.9996996641,-23657.9909444469,39,27,34,83
"51",-23670.9996996641,-23657.9909444469,36,31,33,83
"52",-23670.9996996641,-23657.9909444469,32,29,39,83
"53",-23670.9996996641,-23657.9909444469,35,29,36,83
"54",-23670.9996996641,-23657.9909444469,31,28,41,83
"55",-23670.9996996641,-23657.9909444469,35,29,36,83
"56",-23670.9996996641,-23657.9909444469,27,33,40,83
"57",-23670.9996996641,-23657.9909444469,26,34,40,83
"58",-23670.9996996641,-23657.9909444469,35,33,32,83
"59",-23670.9996996641,-23657.9909444469,34,29,37,83
"60",-23670.9996996641,-23657.9909444469,37,27,36,83
"61",-23670.9996996641,-23657.9909444469,40,24,36,83
"62",-23670.9996996641,-23657.9909444469,38,28,34,83
"63",-23670.9996996641,-23657.9909444469,36,30,34,83
"64",-23670.9996996641,-23657.9909444469,42,27,31,83
"65",-23670.9996996641,-23657.9909444469,40,26,34,83
"66",-23670.9996996641,-23657.9909444469,37,27,36,83
"67",-23670.9996996641,-23657.9909444469,32,28,40,83
"68",-23670.9996996641,-23657.9909444469,34,26,40,83
"69",-23670.9996996641,-23657.9909444469,37,27,36,83
"70",-23670.9996996641,-23657.9909444469,38,27,35,83
"71",-23670.9996996641,-23657.9909444469,39,29,32,83
"72",-23670.9996996641,-23657.9909444469,37,33,30,83
"73",-23670.9996996641,-23657.9909444469,35,28,37,83
"74",-23670.9996996641,-23657.9909444469,37,26,37,83
"75",-23670.9996996641,-23657.9909444469,34,29,37,83
"76",-23670.9996996641,-23657.9909444469,30,25,45,83
"77",-23670.9996996641,-23657.9909444469,39,29,32,83
"78",-23670.9996996641,-23657.9909444469,37,33,30,83
"79",-23670.9996996641,-23657.9909444469,38,28,34,83
"80",-23670.9996996641,-23657.9909444469,32,31,37,83
"81",-23670.9996996641,-23657.9909444469,37,26,37,83
"82",-23670.9996996641,-23657.9909444469,32,28,40,83
"83",-23670.9996996641,-23657.9909444469,36,29,35,83
"84",-23670.9996996641,-23657.9909444469,36,30,34,83
"85",-23670.9996996641,-23657.9909444469,41,30,29,83
"86",-23670.9996996641,-23657.9909444469,34,29,37,83
"87",-23670.9996996641,-23657.9909444469,32,28,40,83
"88",-23670.9996996641,-23657.9909444469,38,27,35,83
"89",-23670.9996996641,-23657.9909444469,31,27,42,83
"90",-23670.9996996641,-23657.9909444469,32,29,39,83
"91",-23670.9996996641,-23657.9909444469,39,27,34,83
"92",-23670.9996996641,-23657.9909444469,36,33,31,83
"93",-23670.9996996641,-23657.9909444469,37,29,34,83
"94",-23670.9996996641,-23657.9909444469,29,26,45,83
"95",-23670.9996996641,-23657.9909444469,35,31,34,83
"96",-23670.9996996641,-23657.9909444469,37,27,36,83
"97",-23670.9996996641,-23657.9909444469,32,29,39,83
"98",-23670.9996996641,-23657.9909444469,39,29,32,83
"99",-23670.9996996641,-23657.9909444469,40,29,31,83
"100",-23670.9996996641,-23657.9909444469,32,28,40,83
"101",-23670.9996996641,-23657.9909444469,32,28,40,83
"102",-23670.9996996641,-23657.9909444469,30,23,47,83
"103",-23670.9996996641,-23657.9909444469,33,28,39,83
"104",-23670.9996996641,-23657.9909444469,29,33,38,83
"105",-23670.9996996641,-23657.9909444469,35,31,34,83
"106",-23670.9996996641,-23657.9909444469,36,25,39,83
