"","bic","icl","cls.1","cls.2","cls.3","conv"
"1",-23666.5749878713,-23652.3356934932,100,0,0,95
"2",-23666.5749878713,-23652.3356934932,87,5,8,95
"3",-23666.5749878713,-23652.3356934932,4,93,3,95
"4",-23666.5749878713,-23652.3356934932,0,100,0,95
"5",-23666.5749878713,-23652.3356934932,0,93,7,95
"6",-23666.5749878713,-23652.3356934932,30,46,24,95
"7",-23666.5749878713,-23652.3356934932,100,0,0,95
"8",-23666.5749878713,-23652.3356934932,94,0,6,95
"9",-23666.5749878713,-23652.3356934932,100,0,0,95
"10",-23666.5749878713,-23652.3356934932,100,0,0,95
"11",-23666.5749878713,-23652.3356934932,73,14,13,95
"12",-23666.5749878713,-23652.3356934932,7,43,50,95
"13",-23666.5749878713,-23652.3356934932,100,0,0,95
"14",-23666.5749878713,-23652.3356934932,88,2,10,95
"15",-23666.5749878713,-23652.3356934932,86,2,12,95
"16",-23666.5749878713,-23652.3356934932,100,0,0,95
"17",-23666.5749878713,-23652.3356934932,75,9,16,95
"18",-23666.5749878713,-23652.3356934932,30,39,31,95
"19",-23666.5749878713,-23652.3356934932,100,0,0,95
"20",-23666.5749878713,-23652.3356934932,86,1,13,95
"21",-23666.5749878713,-23652.3356934932,82,5,13,95
"22",-23666.5749878713,-23652.3356934932,100,0,0,95
"23",-23666.5749878713,-23652.3356934932,71,9,20,95
"24",-23666.5749878713,-23652.3356934932,75,12,13,95
"25",-23666.5749878713,-23652.3356934932,100,0,0,95
"26",-23666.5749878713,-23652.3356934932,23,67,10,95
"27",-23666.5749878713,-23652.3356934932,0,81,19,95
"28",-23666.5749878713,-23652.3356934932,100,0,0,95
"29",-23666.5749878713,-23652.3356934932,0,65,35,95
"30",-23666.5749878713,-23652.3356934932,0,53,47,95
"31",-23666.5749878713,-23652.3356934932,0,100,0,95
"32",-23666.5749878713,-23652.3356934932,81,5,14,95
"33",-23666.5749878713,-23652.3356934932,2,98,0,95
"34",-23666.5749878713,-23652.3356934932,100,0,0,95
"35",-23666.5749878713,-23652.3356934932,22,78,0,95
"36",-23666.5749878713,-23652.3356934932,33,66,1,95
"37",-23666.5749878713,-23652.3356934932,0,100,0,95
"38",-23666.5749878713,-23652.3356934932,100,0,0,95
"39",-23666.5749878713,-23652.3356934932,5,92,3,95
"40",-23666.5749878713,-23652.3356934932,0,100,0,95
"41",-23666.5749878713,-23652.3356934932,81,8,11,95
"42",-23666.5749878713,-23652.3356934932,100,0,0,95
"43",-23666.5749878713,-23652.3356934932,0,100,0,95
"44",-23666.5749878713,-23652.3356934932,0,54,46,95
"45",-23666.5749878713,-23652.3356934932,100,0,0,95
"46",-23666.5749878713,-23652.3356934932,100,0,0,95
"47",-23666.5749878713,-23652.3356934932,0,79,21,95
"48",-23666.5749878713,-23652.3356934932,87,8,5,95
"49",-23666.5749878713,-23652.3356934932,100,0,0,95
"50",-23666.5749878713,-23652.3356934932,0,100,0,95
"51",-23666.5749878713,-23652.3356934932,9,41,50,95
"52",-23666.5749878713,-23652.3356934932,100,0,0,95
"53",-23666.5749878713,-23652.3356934932,95,0,5,95
"54",-23666.5749878713,-23652.3356934932,92,0,8,95
"55",-23666.5749878713,-23652.3356934932,100,0,0,95
"56",-23666.5749878713,-23652.3356934932,94,0,6,95
"57",-23666.5749878713,-23652.3356934932,71,9,20,95
"58",-23666.5749878713,-23652.3356934932,0,100,0,95
"59",-23666.5749878713,-23652.3356934932,55,33,12,95
"60",-23666.5749878713,-23652.3356934932,74,15,11,95
"61",-23666.5749878713,-23652.3356934932,100,0,0,95
"62",-23666.5749878713,-23652.3356934932,56,44,0,95
"63",-23666.5749878713,-23652.3356934932,64,30,6,95
"64",-23666.5749878713,-23652.3356934932,0,100,0,95
"65",-23666.5749878713,-23652.3356934932,72,23,5,95
"66",-23666.5749878713,-23652.3356934932,82,8,10,95
"67",-23666.5749878713,-23652.3356934932,100,0,0,95
"68",-23666.5749878713,-23652.3356934932,100,0,0,95
"69",-23666.5749878713,-23652.3356934932,87,8,5,95
"70",-23666.5749878713,-23652.3356934932,0,100,0,95
"71",-23666.5749878713,-23652.3356934932,0,56,44,95
"72",-23666.5749878713,-23652.3356934932,0,40,60,95
"73",-23666.5749878713,-23652.3356934932,100,0,0,95
"74",-23666.5749878713,-23652.3356934932,87,8,5,95
"75",-23666.5749878713,-23652.3356934932,81,1,18,95
"76",-23666.5749878713,-23652.3356934932,100,0,0,95
"77",-23666.5749878713,-23652.3356934932,0,100,0,95
"78",-23666.5749878713,-23652.3356934932,0,40,60,95
"79",-23666.5749878713,-23652.3356934932,100,0,0,95
"80",-23666.5749878713,-23652.3356934932,92,2,6,95
"81",-23666.5749878713,-23652.3356934932,82,8,10,95
"82",-23666.5749878713,-23652.3356934932,100,0,0,95
"83",-23666.5749878713,-23652.3356934932,63,23,14,95
"84",-23666.5749878713,-23652.3356934932,40,52,8,95
"85",-23666.5749878713,-23652.3356934932,0,100,0,95
"86",-23666.5749878713,-23652.3356934932,85,5,10,95
"87",-23666.5749878713,-23652.3356934932,100,0,0,95
"88",-23666.5749878713,-23652.3356934932,100,0,0,95
"89",-23666.5749878713,-23652.3356934932,100,0,0,95
"90",-23666.5749878713,-23652.3356934932,100,0,0,95
"91",-23666.5749878713,-23652.3356934932,0,100,0,95
"92",-23666.5749878713,-23652.3356934932,0,44,56,95
"93",-23666.5749878713,-23652.3356934932,13,63,24,95
"94",-23666.5749878713,-23652.3356934932,100,0,0,95
"95",-23666.5749878713,-23652.3356934932,54,42,4,95
"96",-23666.5749878713,-23652.3356934932,82,8,10,95
"97",-23666.5749878713,-23652.3356934932,100,0,0,95
"98",-23666.5749878713,-23652.3356934932,0,95,5,95
"99",-23666.5749878713,-23652.3356934932,0,97,3,95
"100",-23666.5749878713,-23652.3356934932,100,0,0,95
"101",-23666.5749878713,-23652.3356934932,94,0,6,95
"102",-23666.5749878713,-23652.3356934932,100,0,0,95
"103",-23666.5749878713,-23652.3356934932,100,0,0,95
"104",-23666.5749878713,-23652.3356934932,28,43,29,95
"105",-23666.5749878713,-23652.3356934932,28,41,31,95
"106",-23666.5749878713,-23652.3356934932,100,0,0,95
"107",-23666.5749878713,-23652.3356934932,100,0,0,95
"108",-23666.5749878713,-23652.3356934932,44,50,6,95
"109",-23666.5749878713,-23652.3356934932,100,0,0,95
"110",-23666.5749878713,-23652.3356934932,0,59,41,95
"111",-23666.5749878713,-23652.3356934932,0,40,60,95
"112",-23666.5749878713,-23652.3356934932,0,100,0,95
"113",-23666.5749878713,-23652.3356934932,91,9,0,95
"114",-23666.5749878713,-23652.3356934932,22,53,25,95
"115",-23666.5749878713,-23652.3356934932,100,0,0,95
