"","bic","icl","cls.1","cls.2","cls.3","conv"
"1",-23662.1611690507,-23647.3672614054,33,33,34,93
"2",-23662.1611690507,-23647.3672614054,32,33,35,93
"3",-23662.1611690507,-23647.3672614054,33,31,36,93
"4",-23662.1611690507,-23647.3672614054,34,31,35,93
"5",-23662.1611690507,-23647.3672614054,25,31,44,93
"6",-23662.1611690507,-23647.3672614054,34,35,31,93
"7",-23662.1611690507,-23647.3672614054,36,33,31,93
"8",-23662.1611690507,-23647.3672614054,36,33,31,93
"9",-23662.1611690507,-23647.3672614054,37,40,23,93
"10",-23662.1611690507,-23647.3672614054,33,32,35,93
"11",-23662.1611690507,-23647.3672614054,33,35,32,93
"12",-23662.1611690507,-23647.3672614054,23,37,40,93
"13",-23662.1611690507,-23647.3672614054,36,33,31,93
"14",-23662.1611690507,-23647.3672614054,32,38,30,93
"15",-23662.1611690507,-23647.3672614054,34,30,36,93
"16",-23662.1611690507,-23647.3672614054,38,30,32,93
"17",-23662.1611690507,-23647.3672614054,35,29,36,93
"18",-23662.1611690507,-23647.3672614054,34,32,34,93
"19",-23662.1611690507,-23647.3672614054,32,35,33,93
"20",-23662.1611690507,-23647.3672614054,37,31,32,93
"21",-23662.1611690507,-23647.3672614054,33,34,33,93
"22",-23662.1611690507,-23647.3672614054,34,30,36,93
"23",-23662.1611690507,-23647.3672614054,34,30,36,93
"24",-23662.1611690507,-23647.3672614054,34,31,35,93
"25",-23662.1611690507,-23647.3672614054,31,29,40,93
"26",-23662.1611690507,-23647.3672614054,30,26,44,93
"27",-23662.1611690507,-23647.3672614054,24,30,46,93
"28",-23662.1611690507,-23647.3672614054,35,30,35,93
"29",-23662.1611690507,-23647.3672614054,29,31,40,93
"30",-23662.1611690507,-23647.3672614054,24,36,40,93
"31",-23662.1611690507,-23647.3672614054,27,39,34,93
"32",-23662.1611690507,-23647.3672614054,34,34,32,93
"33",-23662.1611690507,-23647.3672614054,24,30,46,93
"34",-23662.1611690507,-23647.3672614054,24,32,44,93
"35",-23662.1611690507,-23647.3672614054,24,30,46,93
"36",-23662.1611690507,-23647.3672614054,30,29,41,93
"37",-23662.1611690507,-23647.3672614054,30,29,41,93
"38",-23662.1611690507,-23647.3672614054,37,40,23,93
"39",-23662.1611690507,-23647.3672614054,35,27,38,93
"40",-23662.1611690507,-23647.3672614054,26,31,43,93
