"","bic","icl","cls.1","cls.2","cls.3","conv"
"1",-23653.4482720091,-23639.4740585216,100,0,0,89
"2",-23653.4482720091,-23639.4740585216,96,3,1,89
"3",-23653.4482720091,-23639.4740585216,6,94,0,89
"4",-23653.4482720091,-23639.4740585216,0,100,0,89
"5",-23653.4482720091,-23639.4740585216,0,98,2,89
"6",-23653.4482720091,-23639.4740585216,35,60,5,89
"7",-23653.4482720091,-23639.4740585216,100,0,0,89
"8",-23653.4482720091,-23639.4740585216,98,0,2,89
"9",-23653.4482720091,-23639.4740585216,100,0,0,89
"10",-23653.4482720091,-23639.4740585216,100,0,0,89
"11",-23653.4482720091,-23639.4740585216,71,26,3,89
"12",-23653.4482720091,-23639.4740585216,13,50,37,89
"13",-23653.4482720091,-23639.4740585216,100,0,0,89
"14",-23653.4482720091,-23639.4740585216,96,3,1,89
"15",-23653.4482720091,-23639.4740585216,94,3,3,89
"16",-23653.4482720091,-23639.4740585216,100,0,0,89
"17",-23653.4482720091,-23639.4740585216,72,23,5,89
"18",-23653.4482720091,-23639.4740585216,35,47,18,89
"19",-23653.4482720091,-23639.4740585216,100,0,0,89
"20",-23653.4482720091,-23639.4740585216,90,3,7,89
"21",-23653.4482720091,-23639.4740585216,90,3,7,89
"22",-23653.4482720091,-23639.4740585216,100,0,0,89
"23",-23653.4482720091,-23639.4740585216,69,23,8,89
"24",-23653.4482720091,-23639.4740585216,73,23,4,89
"25",-23653.4482720091,-23639.4740585216,100,0,0,89
"26",-23653.4482720091,-23639.4740585216,35,57,8,89
"27",-23653.4482720091,-23639.4740585216,0,84,16,89
"28",-23653.4482720091,-23639.4740585216,100,0,0,89
"29",-23653.4482720091,-23639.4740585216,0,65,35,89
"30",-23653.4482720091,-23639.4740585216,0,64,36,89
"31",-23653.4482720091,-23639.4740585216,0,100,0,89
"32",-23653.4482720091,-23639.4740585216,87,3,10,89
"33",-23653.4482720091,-23639.4740585216,2,98,0,89
"34",-23653.4482720091,-23639.4740585216,100,0,0,89
"35",-23653.4482720091,-23639.4740585216,25,75,0,89
"36",-23653.4482720091,-23639.4740585216,37,61,2,89
"37",-23653.4482720091,-23639.4740585216,0,100,0,89
"38",-23653.4482720091,-23639.4740585216,100,0,0,89
"39",-23653.4482720091,-23639.4740585216,7,92,1,89
"40",-23653.4482720091,-23639.4740585216,0,100,0,89
"41",-23653.4482720091,-23639.4740585216,87,3,10,89
"42",-23653.4482720091,-23639.4740585216,100,0,0,89
"43",-23653.4482720091,-23639.4740585216,0,100,0,89
"44",-23653.4482720091,-23639.4740585216,0,56,44,89
"45",-23653.4482720091,-23639.4740585216,100,0,0,89
"46",-23653.4482720091,-23639.4740585216,100,0,0,89
"47",-23653.4482720091,-23639.4740585216,0,81,19,89
"48",-23653.4482720091,-23639.4740585216,96,3,1,89
