"","bic","icl","cls.1","cls.2","cls.3","conv"
"1",-23676.5700251329,-23666.7978181266,0,100,0,0
"2",-23676.5700251329,-23666.7978181266,0,100,0,0
"3",-23676.5700251329,-23666.7978181266,0,100,0,0
"4",-23676.5700251329,-23666.7978181266,0,100,0,0
"5",-23676.5700251329,-23666.7978181266,0,100,0,0
"6",-23676.5700251329,-23666.7978181266,0,100,0,0
"7",-23676.5700251329,-23666.7978181266,0,100,0,0
"8",-23676.5700251329,-23666.7978181266,0,100,0,0
"9",-23676.5700251329,-23666.7978181266,100,0,0,0
"10",-23676.5700251329,-23666.7978181266,0,100,0,0
"11",-23676.5700251329,-23666.7978181266,0,100,0,0
"12",-23676.5700251329,-23666.7978181266,0,100,0,0
"13",-23676.5700251329,-23666.7978181266,0,100,0,0
"14",-23676.5700251329,-23666.7978181266,0,100,0,0
"15",-23676.5700251329,-23666.7978181266,0,100,0,0
"16",-23676.5700251329,-23666.7978181266,0,100,0,0
"17",-23676.5700251329,-23666.7978181266,0,100,0,0
"18",-23676.5700251329,-23666.7978181266,0,100,0,0
"19",-23676.5700251329,-23666.7978181266,0,100,0,0
"20",-23676.5700251329,-23666.7978181266,100,0,0,0
"21",-23676.5700251329,-23666.7978181266,100,0,0,0
"22",-23676.5700251329,-23666.7978181266,0,100,0,0
"23",-23676.5700251329,-23666.7978181266,0,100,0,0
"24",-23676.5700251329,-23666.7978181266,0,100,0,0
"25",-23676.5700251329,-23666.7978181266,0,100,0,0
"26",-23676.5700251329,-23666.7978181266,0,100,0,0
"27",-23676.5700251329,-23666.7978181266,0,100,0,0
"28",-23676.5700251329,-23666.7978181266,0,100,0,0
"29",-23676.5700251329,-23666.7978181266,0,0,100,0
"30",-23676.5700251329,-23666.7978181266,0,100,0,0
"31",-23676.5700251329,-23666.7978181266,0,100,0,0
"32",-23676.5700251329,-23666.7978181266,0,100,0,0
"33",-23676.5700251329,-23666.7978181266,0,100,0,0
"34",-23676.5700251329,-23666.7978181266,0,100,0,0
"35",-23676.5700251329,-23666.7978181266,0,100,0,0
"36",-23676.5700251329,-23666.7978181266,0,100,0,0
"37",-23676.5700251329,-23666.7978181266,0,100,0,0
"38",-23676.5700251329,-23666.7978181266,100,0,0,0
"39",-23676.5700251329,-23666.7978181266,0,100,0,0
"40",-23676.5700251329,-23666.7978181266,0,100,0,0
"41",-23676.5700251329,-23666.7978181266,0,100,0,0
"42",-23676.5700251329,-23666.7978181266,100,0,0,0
"43",-23676.5700251329,-23666.7978181266,0,100,0,0
"44",-23676.5700251329,-23666.7978181266,0,100,0,0
"45",-23676.5700251329,-23666.7978181266,100,0,0,0
"46",-23676.5700251329,-23666.7978181266,0,100,0,0
"47",-23676.5700251329,-23666.7978181266,0,100,0,0
"48",-23676.5700251329,-23666.7978181266,0,100,0,0
"49",-23676.5700251329,-23666.7978181266,100,0,0,0
"50",-23676.5700251329,-23666.7978181266,0,100,0,0
"51",-23676.5700251329,-23666.7978181266,0,100,0,0
"52",-23676.5700251329,-23666.7978181266,100,0,0,0
"53",-23676.5700251329,-23666.7978181266,0,100,0,0
"54",-23676.5700251329,-23666.7978181266,100,0,0,0
"55",-23676.5700251329,-23666.7978181266,0,100,0,0
"56",-23676.5700251329,-23666.7978181266,0,100,0,0
"57",-23676.5700251329,-23666.7978181266,0,100,0,0
"58",-23676.5700251329,-23666.7978181266,0,0,100,0
"59",-23676.5700251329,-23666.7978181266,0,100,0,0
"60",-23676.5700251329,-23666.7978181266,0,100,0,0
"61",-23676.5700251329,-23666.7978181266,0,100,0,0
"62",-23676.5700251329,-23666.7978181266,0,100,0,0
"63",-23676.5700251329,-23666.7978181266,0,100,0,0
"64",-23676.5700251329,-23666.7978181266,0,100,0,0
"65",-23676.5700251329,-23666.7978181266,0,100,0,0
"66",-23676.5700251329,-23666.7978181266,0,100,0,0
"67",-23676.5700251329,-23666.7978181266,100,0,0,0
"68",-23676.5700251329,-23666.7978181266,100,0,0,0
"69",-23676.5700251329,-23666.7978181266,0,100,0,0
"70",-23676.5700251329,-23666.7978181266,0,100,0,0
"71",-23676.5700251329,-23666.7978181266,0,100,0,0
"72",-23676.5700251329,-23666.7978181266,0,0,100,0
"73",-23676.5700251329,-23666.7978181266,0,100,0,0
"74",-23676.5700251329,-23666.7978181266,100,0,0,0
"75",-23676.5700251329,-23666.7978181266,0,100,0,0
"76",-23676.5700251329,-23666.7978181266,0,100,0,0
"77",-23676.5700251329,-23666.7978181266,0,100,0,0
"78",-23676.5700251329,-23666.7978181266,0,0,100,0
"79",-23676.5700251329,-23666.7978181266,0,100,0,0
"80",-23676.5700251329,-23666.7978181266,0,100,0,0
"81",-23676.5700251329,-23666.7978181266,0,100,0,0
"82",-23676.5700251329,-23666.7978181266,100,0,0,0
"83",-23676.5700251329,-23666.7978181266,0,100,0,0
"84",-23676.5700251329,-23666.7978181266,0,100,0,0
"85",-23676.5700251329,-23666.7978181266,0,100,0,0
"86",-23676.5700251329,-23666.7978181266,0,100,0,0
"87",-23676.5700251329,-23666.7978181266,0,100,0,0
"88",-23676.5700251329,-23666.7978181266,0,100,0,0
"89",-23676.5700251329,-23666.7978181266,100,0,0,0
"90",-23676.5700251329,-23666.7978181266,100,0,0,0
"91",-23676.5700251329,-23666.7978181266,0,100,0,0
"92",-23676.5700251329,-23666.7978181266,0,0,100,0
"93",-23676.5700251329,-23666.7978181266,0,100,0,0
"94",-23676.5700251329,-23666.7978181266,0,100,0,0
"95",-23676.5700251329,-23666.7978181266,0,0,100,0
"96",-23676.5700251329,-23666.7978181266,0,100,0,0
"97",-23676.5700251329,-23666.7978181266,100,0,0,0
"98",-23676.5700251329,-23666.7978181266,0,100,0,0
"99",-23676.5700251329,-23666.7978181266,0,100,0,0
"100",-23676.5700251329,-23666.7978181266,100,0,0,0
"101",-23676.5700251329,-23666.7978181266,0,100,0,0
"102",-23676.5700251329,-23666.7978181266,0,100,0,0
"103",-23676.5700251329,-23666.7978181266,100,0,0,0
"104",-23676.5700251329,-23666.7978181266,0,100,0,0
"105",-23676.5700251329,-23666.7978181266,0,100,0,0
"106",-23676.5700251329,-23666.7978181266,100,0,0,0
"107",-23676.5700251329,-23666.7978181266,0,100,0,0
"108",-23676.5700251329,-23666.7978181266,0,100,0,0
"109",-23676.5700251329,-23666.7978181266,100,0,0,0
"110",-23676.5700251329,-23666.7978181266,0,100,0,0
"111",-23676.5700251329,-23666.7978181266,0,100,0,0
"112",-23676.5700251329,-23666.7978181266,0,100,0,0
"113",-23676.5700251329,-23666.7978181266,0,100,0,0
"114",-23676.5700251329,-23666.7978181266,0,100,0,0
"115",-23676.5700251329,-23666.7978181266,100,0,0,0
