"","bic","icl","cls.1","cls.2","cls.3","conv"
"1",-23772.9893111203,-23758.7695351924,100,0,0,100
"2",-23772.9893111203,-23758.7695351924,100,0,0,100
"3",-23772.9893111203,-23758.7695351924,0,100,0,100
"4",-23772.9893111203,-23758.7695351924,0,100,0,100
"5",-23772.9893111203,-23758.7695351924,0,100,0,100
"6",-23772.9893111203,-23758.7695351924,100,0,0,100
"7",-23772.9893111203,-23758.7695351924,100,0,0,100
"8",-23772.9893111203,-23758.7695351924,100,0,0,100
"9",-23772.9893111203,-23758.7695351924,100,0,0,100
"10",-23772.9893111203,-23758.7695351924,100,0,0,100
"11",-23772.9893111203,-23758.7695351924,100,0,0,100
"12",-23772.9893111203,-23758.7695351924,0,0,100,100
"13",-23772.9893111203,-23758.7695351924,100,0,0,100
"14",-23772.9893111203,-23758.7695351924,100,0,0,100
"15",-23772.9893111203,-23758.7695351924,100,0,0,100
"16",-23772.9893111203,-23758.7695351924,100,0,0,100
"17",-23772.9893111203,-23758.7695351924,100,0,0,100
"18",-23772.9893111203,-23758.7695351924,100,0,0,100
"19",-23772.9893111203,-23758.7695351924,100,0,0,100
"20",-23772.9893111203,-23758.7695351924,100,0,0,100
"21",-23772.9893111203,-23758.7695351924,100,0,0,100
"22",-23772.9893111203,-23758.7695351924,100,0,0,100
"23",-23772.9893111203,-23758.7695351924,100,0,0,100
"24",-23772.9893111203,-23758.7695351924,100,0,0,100
"25",-23772.9893111203,-23758.7695351924,100,0,0,100
"26",-23772.9893111203,-23758.7695351924,0,100,0,100
"27",-23772.9893111203,-23758.7695351924,0,0,100,100
"28",-23772.9893111203,-23758.7695351924,100,0,0,100
"29",-23772.9893111203,-23758.7695351924,0,0,100,100
"30",-23772.9893111203,-23758.7695351924,0,0,100,100
"31",-23772.9893111203,-23758.7695351924,0,100,0,100
"32",-23772.9893111203,-23758.7695351924,100,0,0,100
"33",-23772.9893111203,-23758.7695351924,0,100,0,100
"34",-23772.9893111203,-23758.7695351924,100,0,0,100
"35",-23772.9893111203,-23758.7695351924,0,100,0,100
"36",-23772.9893111203,-23758.7695351924,100,0,0,100
"37",-23772.9893111203,-23758.7695351924,0,100,0,100
"38",-23772.9893111203,-23758.7695351924,100,0,0,100
"39",-23772.9893111203,-23758.7695351924,0,100,0,100
"40",-23772.9893111203,-23758.7695351924,0,100,0,100
"41",-23772.9893111203,-23758.7695351924,100,0,0,100
"42",-23772.9893111203,-23758.7695351924,100,0,0,100
"43",-23772.9893111203,-23758.7695351924,0,100,0,100
"44",-23772.9893111203,-23758.7695351924,0,0,100,100
"45",-23772.9893111203,-23758.7695351924,100,0,0,100
"46",-23772.9893111203,-23758.7695351924,100,0,0,100
"47",-23772.9893111203,-23758.7695351924,0,0,100,100
"48",-23772.9893111203,-23758.7695351924,100,0,0,100
"49",-23772.9893111203,-23758.7695351924,100,0,0,100
"50",-23772.9893111203,-23758.7695351924,0,100,0,100
"51",-23772.9893111203,-23758.7695351924,0,0,100,100
"52",-23772.9893111203,-23758.7695351924,100,0,0,100
"53",-23772.9893111203,-23758.7695351924,100,0,0,100
"54",-23772.9893111203,-23758.7695351924,100,0,0,100
"55",-23772.9893111203,-23758.7695351924,100,0,0,100
"56",-23772.9893111203,-23758.7695351924,100,0,0,100
"57",-23772.9893111203,-23758.7695351924,100,0,0,100
"58",-23772.9893111203,-23758.7695351924,0,100,0,100
"59",-23772.9893111203,-23758.7695351924,100,0,0,100
"60",-23772.9893111203,-23758.7695351924,100,0,0,100
"61",-23772.9893111203,-23758.7695351924,100,0,0,100
"62",-23772.9893111203,-23758.7695351924,100,0,0,100
"63",-23772.9893111203,-23758.7695351924,100,0,0,100
"64",-23772.9893111203,-23758.7695351924,0,100,0,100
"65",-23772.9893111203,-23758.7695351924,100,0,0,100
"66",-23772.9893111203,-23758.7695351924,100,0,0,100
"67",-23772.9893111203,-23758.7695351924,100,0,0,100
"68",-23772.9893111203,-23758.7695351924,100,0,0,100
"69",-23772.9893111203,-23758.7695351924,100,0,0,100
"70",-23772.9893111203,-23758.7695351924,0,100,0,100
"71",-23772.9893111203,-23758.7695351924,0,0,100,100
"72",-23772.9893111203,-23758.7695351924,0,0,100,100
"73",-23772.9893111203,-23758.7695351924,100,0,0,100
"74",-23772.9893111203,-23758.7695351924,100,0,0,100
"75",-23772.9893111203,-23758.7695351924,100,0,0,100
"76",-23772.9893111203,-23758.7695351924,100,0,0,100
"77",-23772.9893111203,-23758.7695351924,0,100,0,100
"78",-23772.9893111203,-23758.7695351924,0,0,100,100
"79",-23772.9893111203,-23758.7695351924,100,0,0,100
"80",-23772.9893111203,-23758.7695351924,100,0,0,100
"81",-23772.9893111203,-23758.7695351924,100,0,0,100
"82",-23772.9893111203,-23758.7695351924,100,0,0,100
"83",-23772.9893111203,-23758.7695351924,100,0,0,100
"84",-23772.9893111203,-23758.7695351924,0,100,0,100
"85",-23772.9893111203,-23758.7695351924,0,100,0,100
"86",-23772.9893111203,-23758.7695351924,100,0,0,100
"87",-23772.9893111203,-23758.7695351924,100,0,0,100
"88",-23772.9893111203,-23758.7695351924,100,0,0,100
"89",-23772.9893111203,-23758.7695351924,100,0,0,100
"90",-23772.9893111203,-23758.7695351924,100,0,0,100
"91",-23772.9893111203,-23758.7695351924,0,100,0,100
"92",-23772.9893111203,-23758.7695351924,0,0,100,100
"93",-23772.9893111203,-23758.7695351924,0,0,100,100
"94",-23772.9893111203,-23758.7695351924,100,0,0,100
"95",-23772.9893111203,-23758.7695351924,100,0,0,100
"96",-23772.9893111203,-23758.7695351924,100,0,0,100
"97",-23772.9893111203,-23758.7695351924,100,0,0,100
"98",-23772.9893111203,-23758.7695351924,0,100,0,100
"99",-23772.9893111203,-23758.7695351924,0,100,0,100
"100",-23772.9893111203,-23758.7695351924,100,0,0,100
"101",-23772.9893111203,-23758.7695351924,100,0,0,100
"102",-23772.9893111203,-23758.7695351924,100,0,0,100
"103",-23772.9893111203,-23758.7695351924,100,0,0,100
"104",-23772.9893111203,-23758.7695351924,100,0,0,100
"105",-23772.9893111203,-23758.7695351924,100,0,0,100
"106",-23772.9893111203,-23758.7695351924,100,0,0,100
"107",-23772.9893111203,-23758.7695351924,100,0,0,100
"108",-23772.9893111203,-23758.7695351924,100,0,0,100
"109",-23772.9893111203,-23758.7695351924,100,0,0,100
"110",-23772.9893111203,-23758.7695351924,0,0,100,100
"111",-23772.9893111203,-23758.7695351924,0,0,100,100
"112",-23772.9893111203,-23758.7695351924,0,100,0,100
"113",-23772.9893111203,-23758.7695351924,100,0,0,100
"114",-23772.9893111203,-23758.7695351924,100,0,0,100
"115",-23772.9893111203,-23758.7695351924,100,0,0,100
