"","x"
"1",1
"2",1
"3",2
"4",2
"5",1
"6",1
"7",1
"8",2
"9",2
"10",1
"11",1
"12",1
"13",2
"14",1
"15",2
"16",2
"17",1
"18",1
"19",1
"20",2
"21",2
"22",2
"23",2
"24",1
"25",1
"26",1
"27",1
"28",1
"29",1
"30",1
"31",1
"32",2
"33",1
"34",1
"35",1
"36",1
"37",1
"38",1
"39",1
"40",1
"41",2
"42",1
"43",1
"44",1
"45",2
"46",1
"47",1
"48",1
"49",1
"50",1
"51",1
"52",1
"53",1
"54",2
"55",2
"56",2
"57",2
"58",1
"59",1
"60",2
"61",2
"62",1
"63",1
"64",1
"65",1
"66",1
"67",1
"68",1
"69",1
"70",1
"71",1
"72",1
"73",1
"74",1
"75",1
"76",2
"77",1
"78",1
"79",1
"80",1
"81",1
"82",2
"83",2
"84",1
"85",1
"86",2
"87",1
"88",1
"89",1
"90",1
"91",1
"92",1
"93",1
"94",1
"95",1
"96",1
"97",1
"98",1
"99",1
"100",1
"101",1
"102",1
"103",1
"104",1
"105",1
"106",2
"107",1
"108",1
"109",1
"110",1
"111",1
"112",1
"113",1
"114",1
"115",1
