"","W.1","W.2","W.3","W.4","W.5","W.6","W.7","W.8","W.9","W.10","W.11","W.12","W.13","W.14","W.15","W.16","W.17","W.18","W.19","W.20","W.21","W.22","W.23","W.24","W.25","W.26","W.27","W.28","W.29","W.30","W.31","W.32","W.33","W.34","W.35","W.36","W.37","W.38","W.39","W.40","W.41","W.42","W.43","W.44","W.45","W.46","W.47","W.48","W.49","W.50","W_m.1","W_m.2","W_m.3","W_m.4","W_m.5","W_m.6","W_m.7","W_m.8","W_m.9","W_m.10","W_m.11","W_m.12","W_m.13","W_m.14","W_m.15","W_m.16","W_m.17","W_m.18","W_m.19","W_m.20","W_m.21","W_m.22","W_m.23","W_m.24","W_m.25","W_m.26","W_m.27","W_m.28","W_m.29","W_m.30","W_m.31","W_m.32","W_m.33","W_m.34","W_m.35","W_m.36","W_m.37","W_m.38","W_m.39","W_m.40","W_m.41","W_m.42","W_m.43","W_m.44","W_m.45","W_m.46","W_m.47","W_m.48","W_m.49","W_m.50","dety"
"1",0.13634114126754,0.0835683175330588,0.0175207616746988,0.00112161605792714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.369244013177654,0.226322742009771,0.0474503608708994,0.00303760120109922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91936694264397e-30
"2",0.0835683175330588,0.211272111479125,0.149330241256124,0.0329956686032854,0.000283379152189932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.400062655003318,0.346423600756535,0.0807578262211266,0.000708336928343341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91936694264397e-30
"3",0.0175207616746988,0.149330241256124,0.311721028736828,0.214369910930925,0.0226237793331101,0.000186616522987078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.435270238850448,0.427893621215279,0.0514126459988307,0.000428737152992434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91936694264397e-30
"4",0.00112161605792714,0.0329956686032854,0.214369910930925,0.457677874597445,0.22556936453837,0.0227371774798183,0.000192938218882054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.517739191102723,0.393080185955496,0.0435619400162427,0.000372655232977668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91936694264397e-30
"5",0,0.000283379152189932,0.0226237793331101,0.22556936453837,0.457494701366106,0.225581274085305,0.0227151667731712,0.00018862512862337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.548031848404355,0.380335370468971,0.0411813354472115,0.000344186435829541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91936694264397e-30
"6",0,0,0.000186616522987078,0.0227371774798183,0.225581274085305,0.457598636682969,0.225554551472101,0.0227344950784218,0.000195262703452706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55771481620957,0.376313472967892,0.0405289372738243,0.000350112096321524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91936694264397e-30
"7",0,0,0,0.000192938218882054,0.0227151667731712,0.225554551472101,0.457668393787995,0.225483081700544,0.0227344950784217,0.00018862512862337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.560678626835106,0.374933718606126,0.0403131885142722,0.000336422898244067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91936694264397e-30
"8",0,0,0,0,0.00018862512862337,0.0227344950784218,0.225483081700544,0.457668393787995,0.225554551472101,0.0227151667731712,0.000192938218882055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.561649701521624,0.374656280511319,0.040219073247453,0.000343520558026374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91936694264397e-30
"9",0,0,0,0,0,0.000195262703452706,0.0227344950784217,0.225554551472101,0.457598636682969,0.225581274085305,0.0227371774798183,0.000186616522987078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.561788245168698,0.374695243674731,0.0402437671839857,0.000332183032649676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91936694264397e-30
"10",0,0,0,0,0,0,0.00018862512862337,0.0227151667731712,0.225581274085305,0.457494701366106,0.22556936453837,0.0227182390505067,0.000188919434793288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.561676498262469,0.374728871440403,0.0402255955483925,0.000336349189217825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91936694264397e-30
