,ARI,,Average ARI for init=Random,Average ARI for init=Vector,Average ARI for init=Mini-em,Average ARI for init=Kmeans
0_random_AKBKQKDK_0.2,0.911190884,,0.817807721,0.704072831,0.639419441,0.981348404
0_vector_AKJBQKDK_0.2,1,,,,,
0_mini-em_AKBKQKDK_0.05,0.552582017,,Stdev for init=Random,Stdev for init=Vector,Stdev for init=Mini-em,Stdev for init=Kmeans
0_kmeans_AKJBKQKDK_0.2,1,,0.164441114,0.198701986,0.158036569,0.089981307
1_random_AKBKQKDK_0.2,0.911190884,,,,,
1_vector_ABKQKDK_0.1,0.567094945,,,,,
1_mini-em_AKJBKQKDK_0.2,0.552013254,,,,,
1_kmeans_AKJBKQKDK_0.2,1,,,,,
2_random_AKBKQKDK_0.2,0.900402954,,,,,
2_vector_ABKQKDK_0.1,0.565210677,,,,,
2_mini-em_AKBKQKDK_0.05,0.547811138,,,,,
2_kmeans_AKJBKQKDK_0.2,1,,,,,
3_random_AKBKQKDK_0.2,0.900402954,,,,,
3_vector_AKJBKQKDK_0.2,1,,,,,
3_mini-em_AKBKQKDK_0.2,0.900402954,,,,,
3_kmeans_AKJBKQKDK_0.2,1,,,,,
4_random_AKJBKQKDK_0.1,0.8975674,,,,,
4_vector_ABKQKDK_0.05,0.564825986,,,,,
4_mini-em_ABKQKDK_0.05,0.562780935,,,,,
4_kmeans_AKJBKQKDK_0.2,1,,,,,
5_random_AKJBKQKDK_0.2,0.889427279,,,,,
5_vector_AKJBKQKDK_0.2,1,,,,,
5_mini-em_AKBKQKDK_0.05,0.542892753,,,,,
5_kmeans_AKJBKQKDK_0.2,1,,,,,
6_random_AKBKQKDK_0.2,0.908479147,,,,,
6_vector_ABKQKDK_0.05,0.565852785,,,,,
6_mini-em_AKJBKQKDK_0.1,0.908479147,,,,,
6_kmeans_AKJBKQKDK_0.2,1,,,,,
7_random_AKJBKQKDK_0.1,0.88190547,,,,,
7_vector_ABKQKDK_0.05,0.564911606,,,,,
7_mini-em_AKBKQKDK_0.05,0.567632223,,,,,
7_kmeans_AKJBQKDK_0.2,1,,,,,
8_random_AKJBKQKDK_0.2,1,,,,,
8_vector_ABKQKDK_0.05,0.562894414,,,,,
8_mini-em_AKBKQKDK_0.05,0.567942398,,,,,
8_kmeans_AKJBKQKDK_0.2,1,,,,,
9_random_AKJBKQKDK_0.2,1,,,,,
9_vector_ABKQKDK_0.1,0.564673411,,,,,
9_mini-em_AKBKQKDK_0.05,0.549895077,,,,,
9_kmeans_AKJBKQKDK_0.2,1,,,,,
10_random_AKJBKQKDK_0.1,0.908074609,,,,,
10_vector_AKJBKQKDK_0.2,1,,,,,
10_mini-em_AKBKQKDK_0.05,0.544521702,,,,,
10_kmeans_AKJBKQKDK_0.2,1,,,,,
11_random_AKBKQKDK_0.2,0.922135606,,,,,
11_vector_ABKQKDK_0.05,0.566084081,,,,,
11_mini-em_AKBKQKDK_0.1,0.532241144,,,,,
11_kmeans_AKJBQKDK_0.2,1,,,,,
12_random_AKJBQKDK_0.2,1,,,,,
12_vector_ABKQKDK_0.05,0.56541606,,,,,
12_mini-em_AKBKQKDK_0.05,0.545929262,,,,,
12_kmeans_AKJBKQKDK_0.2,1,,,,,
13_random_AKBKQKDK_0.05,0.566084081,,,,,
13_vector_AKJBKQKDK_0.2,1,,,,,
13_mini-em_AKBKQKDK_0.1,0.561395468,,,,,
13_kmeans_AKJBKQKDK_0.2,1,,,,,
14_random_AKBKQKDK_0.05,0.560171065,,,,,
14_vector_ABKQKDK_0.2,0.566829424,,,,,
14_mini-em_AKJBQKDK_0.05,0.905777233,,,,,
14_kmeans_AKJBKQKDK_0.2,1,,,,,
15_random_AKJBKQKDK_0.1,0.876508717,,,,,
15_vector_AKJBKQKDK_0.2,1,,,,,
15_mini-em_AKBKQKDK_0.05,0.565630104,,,,,
15_kmeans_AKJBKQKDK_0.2,1,,,,,
16_random_AKBKQKDK_0.2,0.895068219,,,,,
16_vector_ABKQKDK_0.1,0.56466412,,,,,
16_mini-em_AKJBKQKDK_0.2,0.895068219,,,,,
16_kmeans_AKJBKQKDK_0.2,1,,,,,
17_random_AKBKQKDK_0.2,0.916643734,,,,,
17_vector_AKJBKQKDK_0.2,1,,,,,
17_mini-em_AKJBKQKDK_0.1,0.545996553,,,,,
17_kmeans_ABKQKDK_0.2,0.566539828,,,,,
18_random_AKBKQKDK_0.05,0.569096864,,,,,
18_vector_AKJBKQKDK_0.2,1,,,,,
18_mini-em_AKBKQKDK_0.05,0.569096864,,,,,
18_kmeans_AKJBKQKDK_0.2,1,,,,,
19_random_AKBKQKDK_0.05,0.569096864,,,,,
19_vector_AKJBKQKDK_0.2,0.922135606,,,,,
19_mini-em_AKBKQKDK_0.2,0.528265535,,,,,
19_kmeans_AKJBKQKDK_0.2,0.996995489,,,,,
20_random_AKJBQKDK_0.2,1,,,,,
20_vector_ABKQKDK_0.05,0.56449489,,,,,
20_mini-em_AKBKQKDK_0.2,0.524111652,,,,,
20_kmeans_AKJBKQKDK_0.2,1,,,,,
21_random_AKJBKQKDK_0.1,0.903085161,,,,,
21_vector_ABKQKDK_0.2,0.565399876,,,,,
21_mini-em_AKJBKQKDK_0.2,0.903085161,,,,,
21_kmeans_AKJBKQKDK_0.2,1,,,,,
22_random_AKJBKQKDK_0.2,0.922015203,,,,,
22_vector_ABKQKDK_0.1,0.566084081,,,,,
22_mini-em_AKBKQKDK_0.05,0.566572424,,,,,
22_kmeans_AKJBKQKDK_0.2,1,,,,,
23_random_AKJBQKDK_0.2,0.93044619,,,,,
23_vector_ABKQKDK_0.1,0.566323969,,,,,
23_mini-em_AKJBKQKDK_0.2,0.55219425,,,,,
23_kmeans_AKJBKQKDK_0.2,1,,,,,
24_random_AKJBKQKDK_0.2,0.922135606,,,,,
24_vector_ABKQKDK_0.2,0.565662228,,,,,
24_mini-em_AKBKQKDK_0.05,0.525863283,,,,,
24_kmeans_AKJBKQKDK_0.2,1,,,,,
25_random_AKJBKQKDK_0.2,0.903085161,,,,,
25_vector_AKJBKQKDK_0.2,1,,,,,
25_mini-em_AKBKQKDK_0.2,0.549216804,,,,,
25_kmeans_AKJBKQKDK_0.2,1,,,,,
26_random_AKJBKQKDK_0.2,1,,,,,
26_vector_ABKQKDK_0.05,0.565630104,,,,,
26_mini-em_AKBKQKDK_0.05,0.550666209,,,,,
26_kmeans_AKJBKQKDK_0.2,1,,,,,
27_random_AKJBKQKDK_0.1,0.903085161,,,,,
27_vector_ABKQKDK_0.1,0.562316725,,,,,
27_mini-em_AKBKQKDK_0.05,0.566175201,,,,,
27_kmeans_AKJBQKDK_0.2,0.996995489,,,,,
28_random_AKJBKQKDK_0.1,0.903085161,,,,,
28_vector_ABKQKDK_0.2,0.566084081,,,,,
28_mini-em_AKBKQKDK_0.05,0.521450243,,,,,
28_kmeans_AKJBKQKDK_0.2,1,,,,,
29_random_AKJBKQKDK_0.2,1,,,,,
29_vector_ABKQKDK_0.1,0.566572424,,,,,
29_mini-em_AKBKQKDK_0.05,0.549615315,,,,,
29_kmeans_AKJBKQKDK_0.2,1,,,,,
30_random_AKJBKQKDK_0.2,0.88618614,,,,,
30_vector_ABKQKDK_0.05,0.565210677,,,,,
30_mini-em_AKBKQKDK_0.05,0.542291756,,,,,
30_kmeans_AKJBKQKDK_0.2,1,,,,,
31_random_AKBKQKDK_0.2,0.911190884,,,,,
31_vector_ABKQKDK_0.1,0.564825986,,,,,
31_mini-em_AKBKQKDK_0.2,0.911190884,,,,,
31_kmeans_AKJBQKDK_0.1,1,,,,,
32_random_AKBKQKDK_0.2,0.884518042,,,,,
32_vector_ABKQKDK_0.05,0.56541606,,,,,
32_mini-em_AKBKQKDK_0.05,0.569096864,,,,,
32_kmeans_AKJBKQKDK_0.2,1,,,,,
33_random_AKBKQKDK_0.05,0.562357244,,,,,
33_vector_ABKQKDK_0.2,0.566084081,,,,,
33_mini-em_AKBKQKDK_0.2,0.93044619,,,,,
33_kmeans_AKJBKQKDK_0.2,1,,,,,
34_random_AKJBKQKDK_0.2,0.913516095,,,,,
34_vector_ABKQKDK_0.1,0.56541606,,,,,
34_mini-em_AKBKQKDK_0.2,0.913516095,,,,,
34_kmeans_AKJBKQKDK_0.2,1,,,,,
35_random_AKJBKQKDK_0.05,0.525960711,,,,,
35_vector_ABKQKDK_0.1,0.5642166,,,,,
35_mini-em_AKBKQKDK_0.1,0.525960711,,,,,
35_kmeans_AKJBKQKDK_0.2,1,,,,,
36_random_AKBKQKDK_0.05,0.564783184,,,,,
36_vector_AKJBQKDK_0.2,1,,,,,
36_mini-em_AKBKQKDK_0.05,0.567632223,,,,,
36_kmeans_AKJBQKDK_0.2,1,,,,,
37_random_AKBKQKDK_0.2,0.908479147,,,,,
37_vector_ABKQKDK_0.2,0.565399876,,,,,
37_mini-em_AKBKQKDK_0.2,0.908479147,,,,,
37_kmeans_AKJBKQKDK_0.2,1,,,,,
38_random_AKBKQKDK_0.1,0.559815703,,,,,
38_vector_ABKQKDK_0.1,0.567094945,,,,,
38_mini-em_AKJBKQKDK_0.2,0.91391242,,,,,
38_kmeans_AKJBQKDK_0.1,0.996995489,,,,,
39_random_AKBKQKDK_0.2,0.905777233,,,,,
39_vector_ABKQKDK_0.2,0.566829424,,,,,
39_mini-em_AKBKQKDK_0.05,0.569096864,,,,,
39_kmeans_AKJBKQKDK_0.05,0.479778328,,,,,
40_random_AKBKQKDK_0.05,0.566084081,,,,,
40_vector_ABKQKDK_0.1,0.566829424,,,,,
40_mini-em_AKBKQKDK_0.05,0.546830415,,,,,
40_kmeans_AKJBKQKDK_0.2,1,,,,,
41_random_AKBKQKDK_0.2,0.879302927,,,,,
41_vector_AKJBKQKDK_0.2,1,,,,,
41_mini-em_AKBKQKDK_0.05,0.543727642,,,,,
41_kmeans_AKJBKQKDK_0.2,1,,,,,
42_random_AKJBKQKDK_0.2,0.895068219,,,,,
42_vector_AKJBKQKDK_0.2,1,,,,,
42_mini-em_AKBKQKDK_0.1,0.542344733,,,,,
42_kmeans_AKJBKQKDK_0.2,1,,,,,
43_random_AKBKQKDK_0.05,0.566084081,,,,,
43_vector_AKJBKQKDK_0.2,1,,,,,
43_mini-em_AKBKQKDK_0.05,0.56541606,,,,,
43_kmeans_AKJBQKDK_0.1,1,,,,,
44_random_AKBKQKDK_0.05,0.562408556,,,,,
44_vector_ABKQKDK_0.1,0.56466412,,,,,
44_mini-em_AKBKQKDK_0.1,0.544610015,,,,,
44_kmeans_AKJBKQKDK_0.2,1,,,,,
45_random_AKBKQKDK_0.2,0.905777233,,,,,
45_vector_ABKQKDK_0.1,0.56541606,,,,,
45_mini-em_AKBKQKDK_0.1,0.544708287,,,,,
45_kmeans_AKBKQKDK_0.1,0.557940429,,,,,
46_random_AKJBKQKDK_0.1,0.887140623,,,,,
46_vector_ABKQKDK_0.1,0.565630104,,,,,
46_mini-em_AKBKQKDK_0.1,0.546438773,,,,,
46_kmeans_AKJBKQKDK_0.2,1,,,,,
47_random_AKBKQKDK_0.05,0.569096864,,,,,
47_vector_ABKQKDK_0.05,0.565852785,,,,,
47_mini-em_AKBKQKDK_0.05,0.569096864,,,,,
47_kmeans_AKJBKQKDK_0.2,1,,,,,
48_random_AKJBKQKDK_0.1,0.891909285,,,,,
48_vector_ABKQKDK_0.05,0.562415212,,,,,
48_mini-em_AKBKQKDK_0.05,0.559605175,,,,,
48_kmeans_AKJBKQKDK_0.2,0.996995489,,,,,
49_random_AKJBKQKDK_0.2,0.899937829,,,,,
49_vector_AKJBKQKDK_0.2,1,,,,,
49_mini-em_AKBKQKDK_0.1,0.905488727,,,,,
49_kmeans_AKJBKQKDK_0.2,1,,,,,
50_random_AKBKQKDK_0.05,0.569096864,,,,,
50_vector_ABKQKDK_0.05,0.5642166,,,,,
50_mini-em_AKJBKQKDK_0.1,0.889773193,,,,,
50_kmeans_AKJBKQKDK_0.2,1,,,,,
51_random_AKJBKQKDK_0.2,0.88926832,,,,,
51_vector_AKBKQKDK_0.2,0.88926832,,,,,
51_mini-em_AKBKQKDK_0.05,0.545198933,,,,,
51_kmeans_AKJBKQKDK_0.2,1,,,,,
52_random_AKJBKQKDK_0.2,0.91391242,,,,,
52_vector_ABKQKDK_0.2,0.565852785,,,,,
52_mini-em_AKBKQKDK_0.05,0.546960669,,,,,
52_kmeans_AKJBQKDK_0.2,1,,,,,
53_random_AKBKQKDK_0.05,0.569096864,,,,,
53_vector_AKBKQKDK_0.2,0.889773193,,,,,
53_mini-em_AKBKQKDK_0.1,0.54417059,,,,,
53_kmeans_AKJBKQKDK_0.2,1,,,,,
54_random_AKJBKQKDK_0.1,0.883970249,,,,,
54_vector_ABKQKDK_0.1,0.559655586,,,,,
54_mini-em_AKBKQKDK_0.05,0.54353005,,,,,
54_kmeans_AKJBQKDK_0.2,0.996995489,,,,,
55_random_AKBKQKDK_0.2,0.908479147,,,,,
55_vector_ABKQKDK_0.1,0.565399876,,,,,
55_mini-em_AKBKQKDK_0.05,0.569096864,,,,,
55_kmeans_AKJBQKDK_0.2,0.996995489,,,,,
56_random_AKBKQKDK_0.05,0.569096864,,,,,
56_vector_AKJBKQKDK_0.2,1,,,,,
56_mini-em_AKBKQKDK_0.2,0.546695198,,,,,
56_kmeans_AKJBQKDK_0.2,1,,,,,
57_random_AKBKQKDK_0.2,0.900402954,,,,,
57_vector_AKJBKQKDK_0.2,1,,,,,
57_mini-em_AKJBKQKDK_0.2,0.900402954,,,,,
57_kmeans_AKJBKQKDK_0.2,1,,,,,
58_random_AKBKQKDK_0.2,0.922135606,,,,,
58_vector_ABKQKDK_0.1,0.565210677,,,,,
58_mini-em_AKJBKQKDK_0.1,0.549330666,,,,,
58_kmeans_AKJBKQKDK_0.2,1,,,,,
59_random_AKJBKQKDK_0.2,1,,,,,
59_vector_ABKQKDK_0.05,0.564673411,,,,,
59_mini-em_AKBKQKDK_0.2,0.908479147,,,,,
59_kmeans_AKJBKQKDK_0.2,1,,,,,
60_random_AKJBKQKDK_0.2,0.905777233,,,,,
60_vector_ABKQKDK_0.05,0.564825986,,,,,
60_mini-em_AKBKQKDK_0.1,0.548774788,,,,,
60_kmeans_AKJBQKDK_0.2,1,,,,,
