,ARI,,,,,
0_random_AKBKQKDK_0.2,0.884518042,,0.843375292,0.693948122,0.584907871,0.991238181
0_vector_AKJBKQKDK_0.2,1,,,,,
0_mini-em_ABKQKDK_0.05,0.565933091,,0.151394269,0.198457015,0.110448536,0.060905116
0_kmeans_AKJBKQKDK_0.2,1,,,,,
1_random_AKJBKQKDK_0.2,0.911190884,,,,,
1_vector_ABKQKDK_0.1,0.561013337,,,,,
1_mini-em_AKBKQKDK_0.2,0.548742232,,,,,
1_kmeans_AKJBQKDK_0.2,1,,,,,
2_random_AKBKQKDK_0.2,0.916643734,,,,,
2_vector_ABKQKDK_0.05,0.561696512,,,,,
2_mini-em_AKBKQKDK_0.1,0.548006903,,,,,
2_kmeans_AKJBQKDK_0.2,1,,,,,
3_random_AKBKQKDK_0.2,0.905777233,,,,,
3_vector_ABKQKDK_0.05,0.565013978,,,,,
3_mini-em_AKBKQKDK_0.1,0.548422946,,,,,
3_kmeans_AKJBKQKDK_0.2,1,,,,,
4_random_AKBKQKDK_0.2,0.916643734,,,,,
4_vector_AKJBKQKDK_0.2,1,,,,,
4_mini-em_ABKQKDK_0.1,0.567094945,,,,,
4_kmeans_AKJBKQKDK_0.2,1,,,,,
5_random_AKJBQKDK_0.2,0.889773193,,,,,
5_vector_ABKQKDK_0.05,0.56541606,,,,,
5_mini-em_AKBKQKDK_0.05,0.544847177,,,,,
5_kmeans_AKJBQKDK_0.2,1,,,,,
6_random_AKBKQKDK_0.2,0.91391242,,,,,
6_vector_ABKQKDK_0.05,0.563610259,,,,,
6_mini-em_AKBKQKDK_0.05,0.550422942,,,,,
6_kmeans_AKBQKDK_0.05,0.563974314,,,,,
7_random_AKBKQKDK_0.2,0.911190884,,,,,
7_vector_AKJBKQKDK_0.2,1,,,,,
7_mini-em_AKBKQKDK_0.1,0.550471596,,,,,
7_kmeans_AKJBKQKDK_0.2,1,,,,,
8_random_AKJBKQKDK_0.1,0.887140623,,,,,
8_vector_AKJBKQKDK_0.2,1,,,,,
8_mini-em_AKBKQKDK_0.1,0.541458699,,,,,
8_kmeans_AKJBKQKDK_0.2,1,,,,,
9_random_AKBKQKDK_0.2,0.916643734,,,,,
9_vector_ABKQKDK_0.1,0.562033025,,,,,
9_mini-em_AKBKQKDK_0.1,0.548006903,,,,,
9_kmeans_AKJBKQKDK_0.2,1,,,,,
10_random_AKJBQKDK_0.2,1,,,,,
10_vector_ABKQKDK_0.05,0.565210677,,,,,
10_mini-em_AKBKQKDK_0.05,0.546960669,,,,,
10_kmeans_AKJBKQKDK_0.2,1,,,,,
11_random_ABKQKDK_0.05,0.565036377,,,,,
11_vector_AKJBKQKDK_0.2,1,,,,,
11_mini-em_AKJBKQKDK_0.2,0.919384803,,,,,
11_kmeans_AKJBKQKDK_0.2,1,,,,,
12_random_AKBKQKDK_0.05,0.544750858,,,,,
12_vector_ABKQKDK_0.05,0.56541606,,,,,
12_mini-em_AKBKQKDK_0.1,0.545559635,,,,,
12_kmeans_AKJBQKDK_0.2,1,,,,,
