,CCR,ARI,,Random Perfect CCR,Random Perfect ARI,Random Perfect Both
random_AKJBKQKDK_0.01,0.333333333,1,,2,25,2
random_AKJBKQKDK_0.1,0.348348348,0.549699234,,,,
random_AKJBKQKDK_0.2,0,0.549699234,,,,
random_AKJBKQKDK_0.3,0.657657658,0.557985291,,,,
random_AKJBKQKDK_0.4,0.333333333,1,,,,
random_AKJBKQKDK_0.5,0,1,,,,
random_AKJBKQKDK_0.6,0,1,,,,
random_AKJBQKDK_0.01,0.309309309,0.596120097,,,,
random_AKJBQKDK_0.1,0.333333333,1,,,,
random_AKJBQKDK_0.2,0.667667668,0.568734434,,,,
random_AKJBQKDK_0.3,0,0.552429914,,,,
random_AKJBQKDK_0.4,0.333333333,1,,,,
random_AKJBQKDK_0.5,0.333333333,1,,,,
random_AKJBQKDK_0.6,1,1,,,,
random_AKBKQKDK_0.01,1,1,,,,
random_AKBKQKDK_0.1,0.333333333,1,,,,
random_AKBKQKDK_0.2,0.335335335,0.568005429,,,,
random_AKBKQKDK_0.3,0.333333333,0.569096864,,,,
random_AKBKQKDK_0.4,0,1,,,,
random_AKBKQKDK_0.5,0.333333333,1,,,,
random_AKBKQKDK_0.6,0,1,,,,
random_AKBQKDK_0.01,0,1,,,,
random_AKBQKDK_0.1,0.333333333,1,,,,
random_AKBQKDK_0.2,0,0.569096864,,,,
random_AKBQKDK_0.3,0.333333333,1,,,,
random_AKBQKDK_0.4,0.333333333,1,,,,
random_AKBQKDK_0.5,0,1,,,,
random_AKBQKDK_0.6,0,1,,,,
random_ABKQKDK_0.01,0.333333333,1,,,,
random_ABKQKDK_0.1,0.293293293,0.551640354,,,,
random_ABKQKDK_0.2,0.656656657,0.553694413,,,,
random_ABKQKDK_0.3,0.652652653,0.548187189,,,,
random_ABKQKDK_0.4,0.655655656,0.553745096,,,,
random_ABKQKDK_0.5,0,0.566539828,,,,
random_ABKQKDK_0.6,0.656656657,0.555135754,,,,
random_ABQKDK_0.01,0.333333333,1,,,,
random_ABQKDK_0.1,0.145145145,0.609755205,,,,
random_ABQKDK_0.2,0,1,,,,
random_ABQKDK_0.3,0.385385385,0.459121501,,,,
random_ABQKDK_0.4,0,1,,,,
random_ABQKDK_0.5,0.333333333,1,,,,
random_ABQKDK_0.6,0.333333333,1,,,,
