"","V1","V2","V3"
"1",1.92405827970822e-63,9.21381511278175e-44,1.42406719758644e-54
"2",1.04557910898002e-62,1.48119119356828e-45,2.23511781910537e-54
"3",4.80494155585181e-63,2.15178003845907e-46,7.95926927517483e-54
"4",3.90355228378851e-63,1.98801188143968e-46,8.96712740091881e-54
"5",3.08544706481976e-56,5.40379989543334e-46,3.40505876018341e-54
"6",1.5001671409715e-62,1.20578152407555e-45,2.38221034614539e-54
"7",6.7214178896127e-63,2.41968775609391e-46,6.80260763532228e-54
"8",5.26279102304319e-62,7.96602195362505e-46,2.79198460191604e-54
"9",4.26127538101192e-63,3.75049112927502e-45,1.82202741767044e-54
"10",3.52204473271222e-64,4.02562721764751e-46,6.56707983340144e-55
"11",7.26446209145846e-64,2.1361574147153e-45,9.54064766011541e-55
"12",6.87526121374436e-64,1.81983716268828e-45,9.29476358418366e-55
"13",5.44231721873503e-64,9.96311191341756e-46,8.28470741675678e-55
"14",1.45753147549851e-62,3.02833645442999e-46,5.30285042530333e-54
"15",5.27056967753588e-64,7.06822506927241e-47,1.74246992796578e-51
"16",5.45229590868623e-64,7.22233752399356e-47,4.79116905898431e-51
"17",3.61093477029293e-64,5.50765123426427e-47,4.9785585898175e-53
"18",8.17737828351623e-64,9.24985398316293e-47,1.30297503980327e-52
"19",7.55797855762306e-64,8.82916764755367e-47,2.07872597168912e-52
"20",2.10723286183318e-62,3.30167138417856e-46,4.88674124498475e-54
"21",1.47770883176809e-64,2.87804338037545e-47,3.60450342834814e-54
